# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,2,3,3,3,3,3,3,3,3,4,4,3,3,3,5,7,7,6,7,7,7,6,7,8,7,6,6,6,6,7,7,6,6,4,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0
-0.11,2,2,3,3,3,3,3,3,4,4,4,3,3,3,6,7,7,7,7,8,7,8,9,9,9,8,8,9,9,8,9,9,9,5,4,3,3,3,3,3,2,1,1,0,0,0,0,0,0
-0.1,2,2,3,3,3,3,3,3,4,4,4,3,3,4,6,7,7,8,8,9,10,11,11,11,10,10,10,11,10,11,11,10,10,8,5,4,4,3,3,3,2,2,2,1,0,0,0,0,0
-0.09,2,2,2,2,3,3,3,4,5,5,4,4,4,5,6,6,9,10,9,11,12,12,12,12,12,12,13,11,12,12,11,11,10,9,5,4,4,4,3,3,3,2,3,3,2,1,1,1,1
-0.08,1,1,2,2,2,4,4,5,5,5,4,4,4,4,7,9,11,10,11,12,13,15,15,16,16,17,17,16,14,13,13,12,11,8,7,4,4,4,4,3,4,3,3,3,3,1,1,1,1
-0.07,1,1,1,1,2,3,3,4,4,4,4,4,4,4,8,11,11,14,14,14,17,18,22,23,23,24,24,23,18,17,14,13,12,9,6,5,4,4,5,5,3,3,3,3,3,2,1,1,1
-0.06,1,1,1,2,2,2,2,2,3,3,3,3,4,5,8,10,12,15,19,23,29,32,32,32,32,33,35,34,31,25,20,15,12,8,6,5,4,5,5,5,4,3,3,3,3,2,1,1,1
-0.05,2,1,2,2,2,1,1,3,3,3,3,3,5,5,7,12,16,18,31,31,31,32,34,33,33,33,34,34,34,33,32,22,15,10,6,5,5,5,5,4,4,3,3,3,3,2,1,1,1
-0.04,1,2,1,1,1,1,2,2,3,3,3,3,5,5,9,13,19,30,30,30,31,32,32,32,33,33,33,32,32,32,32,28,22,15,7,6,6,5,4,4,4,3,3,3,3,2,1,1,1
-0.03,1,2,2,1,1,2,2,2,2,3,3,4,5,6,10,13,27,28,30,31,32,32,34,34,33,34,35,35,36,34,33,31,29,22,11,8,4,4,4,4,4,3,3,3,2,2,1,1,1
-0.02,1,2,2,1,1,2,2,2,2,2,3,4,5,6,11,23,26,28,30,32,32,33,34,35,34,34,33,34,36,37,36,36,30,27,16,11,7,6,5,4,4,3,3,2,2,1,1,1,1
-0.01,2,2,2,1,1,2,2,2,2,2,2,2,6,6,12,23,27,27,31,32,32,31,32,33,34,33,33,35,35,36,35,32,30,27,18,10,8,8,6,6,4,3,2,2,2,1,1,1,1
0.0,2,2,2,1,1,2,3,3,3,3,3,3,5,6,13,24,26,30,30,30,30,31,33,35,35,34,35,34,35,35,34,31,29,29,20,11,8,8,8,4,4,3,2,2,1,1,1,1,1
0.01,2,1,2,2,2,3,3,3,3,3,3,4,6,7,15,24,27,29,29,31,32,33,34,33,33,34,34,34,34,33,32,31,30,26,21,8,7,6,6,6,4,3,2,1,1,1,1,1,2
0.02,2,1,1,2,2,3,3,3,3,3,4,4,4,6,8,22,27,27,30,29,30,31,32,34,33,32,33,33,33,32,29,29,27,26,15,8,7,5,5,5,3,3,2,2,1,1,2,2,2
0.03,2,2,1,1,2,2,3,3,3,4,4,4,4,5,6,17,25,28,27,28,30,31,32,31,32,31,31,29,28,28,29,27,26,22,10,7,5,4,4,4,4,3,2,2,1,2,2,2,2
0.04,2,1,1,1,1,1,2,3,4,4,4,4,4,4,6,7,18,23,27,26,29,29,29,29,30,30,28,28,28,28,26,25,22,11,8,7,4,4,4,4,3,2,1,2,1,2,2,2,2
0.05,2,2,2,2,2,1,1,2,3,3,3,3,3,3,4,5,8,15,22,24,25,26,28,28,30,30,30,28,26,24,24,22,9,9,8,7,4,4,4,4,3,2,1,1,1,1,1,1,1
0.06,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,7,8,13,16,22,24,26,26,27,27,27,25,23,23,18,9,9,8,7,5,4,4,4,4,3,2,2,1,1,1,1,1,2
0.07,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,4,7,7,7,8,15,17,18,19,20,19,17,12,11,11,11,10,8,6,5,5,5,4,4,3,2,2,1,2,2,2,1,1
0.08,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,5,5,7,7,6,6,7,8,9,10,12,11,11,10,10,10,9,6,7,7,6,5,4,3,2,2,1,1,2,2,2,2,2
0.09,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,5,5,6,6,6,6,7,8,9,10,10,10,10,9,9,7,8,7,5,5,5,3,3,2,1,1,1,1,2,2,2,2
0.1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,4,3,4,4,5,6,7,7,8,7,7,9,9,7,7,7,7,6,5,3,3,3,3,2,1,1,1,1,1,2,2,2
0.11,1,1,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,3,4,4,3,3,3,3,4,4,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,2,2
0.12,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2
best_n_offset,0.25
best_h_offset,-0.02
best_count,37
