# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,0,0,0,0,2,2,2,2,2,2,2,3,4,6,8,8,10,11,10,10,10,9,9,7,7,7,7,7,6,5,5,6,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.11,0,0,0,0,1,1,2,2,2,3,4,4,8,9,9,9,10,9,10,12,12,12,12,11,9,8,8,7,7,6,5,5,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.1,0,0,0,0,1,1,1,2,2,3,6,6,7,9,9,10,12,13,13,12,13,14,14,14,13,12,9,9,9,6,6,5,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.09,0,0,0,0,1,3,3,3,3,5,6,7,7,9,11,13,14,16,18,20,20,18,18,19,17,16,11,10,8,7,7,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.08,0,1,1,1,3,3,3,4,5,7,7,8,9,10,15,16,19,20,26,28,27,30,28,26,24,21,20,17,12,10,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.07,1,1,1,2,2,3,4,4,6,7,7,10,12,15,18,23,24,31,32,36,37,37,37,36,36,34,31,26,20,17,10,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.06,1,1,1,2,2,4,4,4,6,6,9,12,14,19,23,27,34,38,43,49,56,57,58,57,55,51,48,43,33,27,18,8,7,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0
-0.05,1,1,1,2,2,3,3,4,6,8,11,13,19,27,30,38,42,53,60,68,72,72,72,74,73,71,68,65,55,43,30,19,11,6,5,2,0,1,1,1,1,1,1,1,1,0,0,0,0
-0.04,1,1,1,2,2,3,3,3,7,9,11,17,23,28,39,50,61,65,72,72,77,81,83,84,84,80,76,71,67,61,51,35,19,10,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0
-0.03,1,1,1,2,2,3,3,4,6,10,15,19,26,34,50,59,70,76,80,86,87,90,92,91,91,87,86,83,74,66,62,52,31,17,8,8,4,3,2,0,0,0,0,0,0,0,0,0,0
-0.02,1,1,1,2,2,3,3,4,7,12,17,19,25,41,57,68,78,83,88,92,94,96,95,94,95,93,92,88,83,78,66,62,42,26,15,8,7,4,2,2,1,0,0,0,0,0,0,0,0
-0.01,1,1,1,1,2,3,3,5,8,12,16,19,27,48,63,74,80,88,92,95,95,97,97,97,96,95,92,89,88,83,78,69,53,34,17,10,8,6,4,4,3,3,2,2,2,1,1,0,0
0.0,1,1,1,1,1,2,4,6,8,10,15,19,29,52,64,83,86,88,96,98,98,100,100,99,98,98,97,94,90,86,80,74,64,38,26,16,13,11,6,4,4,3,2,2,2,2,2,2,1
0.01,1,1,1,1,1,1,3,7,8,10,15,19,27,52,70,82,88,93,96,97,101,100,100,101,100,100,100,96,91,87,83,76,67,42,32,18,15,13,9,7,6,5,3,2,2,2,2,2,2
0.02,1,1,1,1,1,1,2,4,6,11,12,19,24,44,65,81,88,89,93,97,99,100,102,103,103,103,99,94,94,87,83,77,65,46,34,20,18,14,11,7,7,6,5,2,2,2,2,2,2
