# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,2,2,2,2,2,2,3,3,4,4,4,5,5,7,8,9,9,8,8,9,9,8,8,8,9,9,9,9,9,7,6,3,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,1
-0.11,2,2,2,2,2,2,3,4,4,4,5,5,5,7,9,9,8,9,10,10,10,10,12,11,12,12,12,12,12,11,8,6,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,1
-0.1,2,2,3,3,3,4,5,5,5,6,7,7,7,8,9,11,11,12,12,12,14,14,14,14,12,11,12,13,13,12,10,9,5,2,2,2,2,1,1,1,2,2,2,2,1,1,0,0,1
-0.09,2,2,3,3,3,5,5,6,6,6,7,7,9,10,10,11,12,14,16,17,17,16,16,17,17,16,15,11,11,11,10,11,7,6,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1
-0.08,1,1,2,2,2,5,6,6,6,6,6,7,9,10,11,13,14,15,16,18,19,20,21,20,20,20,21,20,17,12,11,10,9,5,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1
-0.07,1,1,1,1,1,5,5,5,5,4,5,6,6,11,15,16,17,20,21,25,28,30,32,33,35,33,34,35,31,25,19,18,14,7,8,6,5,3,3,3,3,3,2,2,2,1,1,1,1
-0.06,1,1,1,1,1,3,4,4,4,4,5,6,7,12,17,20,22,26,32,37,43,49,52,54,53,52,51,50,44,38,34,24,19,14,13,8,7,6,4,3,3,2,2,2,2,2,2,1,1
-0.05,2,2,1,1,2,3,3,4,4,5,6,6,8,14,19,22,30,35,41,53,57,61,63,66,66,66,66,62,58,54,44,35,26,21,16,14,7,6,4,3,2,2,2,2,2,2,2,2,1
-0.04,2,2,2,2,2,3,3,3,4,6,6,6,11,13,18,32,35,46,53,61,65,66,68,71,69,69,68,67,65,61,57,50,36,28,23,14,11,6,6,5,3,2,2,2,2,2,2,2,2
