# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,2,2,3,4,4,5,7,10,10,12,11,18,18,18,16,17,17,19,16,15,13,13,10,9,9,9,6,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.11,3,4,5,6,6,8,8,12,12,17,18,21,20,21,19,21,20,21,19,19,17,17,14,14,9,10,8,6,4,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1,3,6,6,7,7,12,12,13,17,20,20,22,22,25,24,27,25,27,25,27,21,23,20,20,14,11,9,8,6,5,5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.09,4,6,6,8,12,13,14,19,20,22,22,25,25,32,31,34,33,36,32,35,31,29,25,26,22,19,12,11,7,6,5,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-0.08,6,6,8,10,12,15,15,21,22,26,26,29,31,39,39,41,38,40,39,41,38,36,32,30,25,23,17,15,12,9,7,7,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-0.07,5,7,7,10,15,16,17,22,25,31,33,38,41,42,41,44,45,50,49,53,46,43,35,35,32,28,21,17,15,11,9,8,5,3,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0
-0.06,4,7,10,13,14,17,21,28,29,37,38,42,43,50,51,59,57,60,56,58,55,57,50,47,37,35,28,23,17,15,10,9,7,5,4,4,3,3,2,1,1,1,1,1,0,0,0,0,0
-0.05,4,7,9,13,15,21,25,31,34,42,41,50,53,63,63,68,65,69,69,69,62,62,56,52,47,43,35,31,18,16,12,13,8,7,4,4,4,3,3,1,1,1,1,1,1,1,0,0,0
-0.04,5,6,10,15,17,22,27,34,37,47,52,57,61,67,68,74,76,79,74,75,69,69,63,58,48,46,38,32,27,20,17,13,9,7,6,5,4,3,2,2,1,1,1,1,1,1,1,0,0
-0.03,5,6,11,15,17,22,27,37,44,48,54,62,65,73,79,81,79,80,77,75,76,76,67,63,52,49,41,35,29,25,20,14,10,9,7,5,4,3,2,2,1,1,1,1,1,1,1,1,0
-0.02,5,8,9,14,18,23,29,35,40,51,53,66,69,74,76,80,79,83,80,80,72,74,70,66,61,53,42,39,30,28,20,16,11,9,7,6,5,4,2,2,2,1,1,1,1,1,1,1,0
