# h_min,-0.12
# h_max,0.12
# h_step,0.01
# n_min,-1.2
# n_max,1.2
# n_step,0.05
# cutoff,0.05
h_values,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12
n_values,-1.2,-1.15,-1.1,-1.05,-1.0,-0.95,-0.9,-0.85,-0.8,-0.75,-0.7,-0.65,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2
-0.12,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,5,5,5,5,5,7,7,7,7,6,6,6,6,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0
-0.11,1,1,1,1,1,1,1,1,2,3,3,4,5,5,7,5,5,5,5,6,8,9,10,11,11,10,10,7,6,6,4,4,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0
-0.1,1,1,1,1,1,2,2,2,2,4,4,4,5,6,6,6,6,7,7,9,10,10,11,11,11,10,9,9,9,6,5,5,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0
-0.09,1,1,1,1,2,2,2,2,3,4,5,5,6,6,7,8,9,10,11,12,13,14,12,13,12,11,10,9,9,8,7,6,4,4,3,2,3,3,2,2,1,0,0,0,0,0,0,0,0
-0.08,1,1,1,2,3,3,3,3,4,4,5,7,8,9,11,13,13,15,19,19,18,18,18,17,17,17,15,11,10,8,7,7,5,5,5,3,3,3,1,1,1,1,1,1,0,0,0,0,0
-0.07,1,1,2,3,3,3,3,3,4,4,5,7,8,13,13,15,19,19,21,22,25,26,26,26,27,24,23,22,16,14,12,9,6,5,5,5,2,2,1,1,1,1,1,1,1,1,0,0,0
-0.06,1,2,3,3,3,3,3,3,4,5,5,8,11,13,18,19,22,25,26,33,35,35,36,39,38,36,33,27,22,18,15,12,10,7,4,4,2,2,1,1,1,1,1,1,1,1,1,0,0
-0.05,1,3,3,3,3,3,3,3,5,5,7,10,10,14,20,22,28,35,37,39,41,42,43,43,43,43,42,40,37,29,22,15,12,10,6,5,2,2,1,1,1,1,1,1,1,1,1,1,0
-0.04,2,3,3,3,3,3,3,3,5,6,7,10,13,17,21,26,33,41,44,47,50,50,48,49,49,46,46,45,42,39,33,25,16,12,11,7,4,2,1,1,1,1,1,1,1,1,1,1,0
-0.03,2,2,3,3,3,3,3,3,4,7,8,12,16,21,26,32,40,42,48,49,50,52,53,53,53,53,53,50,47,43,38,31,22,13,11,10,5,3,2,2,1,1,1,1,1,1,1,1,0
-0.02,2,2,3,3,3,3,3,3,5,8,10,12,16,26,34,36,43,48,50,52,54,54,55,55,55,54,53,53,53,45,43,38,25,17,12,9,5,4,2,2,2,1,1,1,1,1,1,1,0
-0.01,1,2,2,3,3,3,4,4,5,7,9,12,19,27,34,40,46,49,55,57,54,54,54,56,57,57,57,57,53,50,45,42,34,21,10,8,5,5,3,2,2,2,1,1,1,1,1,1,0
